Product,Rating,MRP,Feature,RAM,OS,Brand,os,CPU Processor,Storage_Type,Storage_Capacity,RAM Type,RAM Capacity,CPU Brand
HP Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) 14s-fq0568AU Thin and Light Laptop,3.9,25990.0,AMD Athlon Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty,8 GB DDR4 RAM,64 bit Windows 11 Operating System,HP,Windows,AMD Processor,SSD,256,DDR4,8,AMD
acer Aspire Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 11 Home) A315-23 Laptop,4.2,35990.0,AMD Ryzen 5 Quad Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year International Travelers Warranty (ITW),8 GB DDR4 RAM,64 bit Windows 11 Operating System,acer,Windows,AMD Ryzen 5 Quad Core Processor,SSD,512,DDR4,8,AMD
ASUS VivoBook 15 (2021) Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-BQ521WS Thin and L...,4.2,43990.0,Intel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayOffice Home and Student 20211 Year Onsite Warranty,8 GB DDR4 RAM,64 bit Windows 11 Operating System,ASUS,Windows,Intel Core i5 Processor,SSD,512,DDR4,8,Intel
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Lap...,4.3,44990.0,AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayOffice Home and Student 20212 Years Onsite�Warranty,8 GB DDR4 RAM,64 bit Windows 11 Operating System,Lenovo,Windows,AMD Ryzen 5 Hexa Core Processor,SSD,512,DDR4,8,AMD
Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...,3.7,64490.0,AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayNA1 Year Onsite�Warranty�+ 1 Year Premium Care + 1 Year Accidental Damage Protection,8 GB DDR4 RAM,64 bit Windows 11 Operating System,Lenovo,Windows,AMD Ryzen 5 Hexa Core Processor,SSD,512,DDR4,8,AMD
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) K513EA-L302WS Thin ...,4.4,40990.0,Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 inch) DisplayOffice Home and Student 20211 Year Onsite Warranty,8 GB DDR4 RAM,64 bit Windows 11 Operating System,ASUS,Windows,Intel Core i3 Processor,SSD,256,DDR4,8,Intel
ASUS VivoBook Ultra 14 (2022) Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X413EA-EB322WS Thin...,4.4,38990.0,Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 inch) DisplayOffice Home and Student 20211 Year Onsite Warranty,8 GB DDR4 RAM,64 bit Windows 11 Operating System,ASUS,Windows,Intel Core i3 Processor,SSD,512,DDR4,8,Intel
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop,4.2,36990.0,Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) DisplayOffice Home and Student 20212 Year Onsite�Warranty,8 GB DDR4 RAM,64 bit Windows 11 Operating System,Lenovo,Windows,Intel Core i3 Processor,SSD,256,DDR4,8,Intel
RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Thin and Light Laptop,4.1,39990.0,"Intel Core i5 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMS Office Home & Student 2019, Mi Smart Share, DTS Audio processing1 Year Onsite Warranty",8 GB DDR4 RAM,,RedmiBook,Windows,Intel Core i5 Processor,SSD,512,DDR4,8,Intel
HP 15s Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5111TU Thin and Light Laptop,4.2,58990.0,Intel Core i5 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,8 GB DDR4 RAM,64 bit Windows 11 Operating System,HP,Windows,Intel Core i5 Processor,SSD,512,DDR4,8,Intel
realme Book(Slim) Intel Evo Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) RMNB1002 Thin and Lig...,4.4,59990.0,Powered by 11th Gen Intel Evo Core i5 ProcessorMicrosoft Office 2019 Home & Student IncludedStylish Thin and Light Laptop without Optical Disk DriveIntel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office 2019 Home & Student1 Year Domestic Warranty,8 GB DDR4 RAM,64 bit Windows 10 Operating System,realme,Windows,Other Intel Processor,SSD,512,DDR4,8,Intel
acer Aspire 7 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 165...,4.4,47990.0,"Free upgrade to Windows 11 when availableIntel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayQuick Access, Acer Care Center, Acer Product Registration, Acer Collection1 Year International Travelers Warranty",8 GB DDR4 RAM,64 bit Windows 10 Operating System,acer,Windows,Other Intel Processor,SSD,512,DDR4,8,Intel
HP Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Laptop,4.2,37499.0,"AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office 2019 & Office 365, HP Documentation, HP BIOS recovery, HP Smart1 Year Onsite Warranty",8 GB DDR4 RAM,64 bit Windows 11 Operating System,HP,Windows,AMD Processor,SSD,512,DDR4,8,AMD
Lenovo IdeaPad 1 Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 11 Home) 15ADA7 Thin and Light Lap...,4.2,38705.0,AMD Ryzen 5 Quad Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Years Onsite�Warranty,8 GB DDR4 RAM,64 bit Windows 11 Operating System,Lenovo,Windows,AMD Ryzen 5 Quad Core Processor,SSD,512,DDR4,8,AMD
ASUS Vivobook Pro 14X OLED with ASUS DialPad Ryzen 9 Octa Core 5900HX - (8 GB/1 TB SSD/Windows 10 Home...,4.1,94990.0,AMD Ryzen 9 Octa Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty,8 GB DDR4 RAM,64 bit Windows 10 Operating System,ASUS,Windows,AMD Ryzen 9 Octa Core Processor,SSD,1000,DDR4,8,AMD
